Bà La Môn
di truyền học
diện tích phụ
diệp lục tố
du học sinh
duy ý chí
duyên kì ngộ
duyên kỳ ngộ
dài dằng dặc
dài ngoằng ngoẵng
dài thườn thượt
dài đuồn đuỗn
dày cồm cộp
dân chủ hoá
dân số học
dân tộc hoá
dân tộc học
dâu da xoan
dây khoá kéo
dây kẽm gai
dây nối đất
dây thép gai
dây thần kinh
dây tiếp địa
dé chân chèo
dép quai hậu
dạ dày cơ
dạ dày tuyến
dạ lan hương
dạ lá sách
dạ lí hương
dạ lý hương
dạ minh sa
dạ múi khế
dạ tổ ong
dải phân cách
dấu chấm hỏi
dấu chấm lửng
dấu chấm phẩy
dấu chấm than
dấu gạch ngang
dấu gạch nối
dấu hai chấm
dầu bạc hà
dầu con hổ
dầu cù là
dầy cồm cộp
dẫn chương trình
dẻo quèo quẹo
dịch tễ học
dửng dừng dưng
dựng tóc gáy
gai cột sống
gan cóc tía
ghe bản lồng
gia đình trị
giao thông hào
giao thông tĩnh
giun móc câu
già cốc đế
già khú đế
giày ba ta
giày bát kết
giày mõm nhái
giá cạnh tranh
giá sinh hoạt
giá treo cổ
giám đốc thẩm
giáo dục học
giáo học pháp
giáp lá cà
giâu gia xoan
gió heo may
gió mùa đông-bắc
giương mắt ếch
giả ba ba
giải phóng quân
giải phẫu học
giấy bao gói
giấy bóng kính
giấy chứng minh
giấy dó lụa
giấy thông hành
giấy trang kim
giấy vệ sinh
giấy đánh máy
giật cánh khuỷu
giết thì giờ
giờ chính thức
giờ hoàng đạo
giờ hành chính
giờ quốc tế
giờ địa phương
gà công nghiệp
gà hoa mơ
gà mái ghẹ
gái bán hoa
gái giang hồ
gì thì gì
góc bù nhau
góc học tập
góc kề bù
góc nhị diện
góc đa diện
góc đối đỉnh
gõ đầu trẻ
gương tày liếp
gương tầy liếp
gạch chịu lửa
gạch lá nem
gạch men sứ
gạch thông tâm
gạch ốp lát
gấu Bắc Cực
gọn thon lỏn
gỏi sinh cầm
hai lá mầm
hi thiêm thảo
hiện tượng học
hiện tượng luận
hiện đại hoá
hiệp tác hoá
hiệp định khung
hiệu thính viên
hiệu điện thế
hoa loa kèn
hoa lá cành
hoa mép dê
hoa mõm chó
hoa mõm sói
hoa mười giờ
hoa đồng tiền
hoà cả làng
hoành cách mô
hoá mĩ phẩm
hoá mỹ phẩm
hoá sinh học
huyết sắc tố
huyết áp cao
huyết áp thấp
huyện uỷ viên
huấn luyện viên
hà thủ ô
hàng chiến lược
hàng tiêu dùng
hành tá tràng
hào chiến đấu
hào giao thông
hái ra tiền
hét ra lửa
hình bình hành
hình bầu dục
hình chóp cụt
hình chữ nhật
hình cầu phân
hình học Euclid
hình học phẳng
hình không gian
hình lăng trụ
hình lập phương
hình nhi hạ
hình nón cụt
hình quạt tròn
hình tam giác
hình thái học
hình tròn xoay
hình viên phân
hình vành khăn
hò mái nhì
hò mái đẩy
hăng máu vịt
hăng tiết vịt
hơn bù kém
hươu cao cổ
hướng dẫn viên
hướng đạo sinh
hạ nghị sĩ
hạ nghị viện
hạ sĩ quan
hạt cơ bản
hải dương học
hầm trú ẩn
hắc tinh tinh
hắc xì dầu
hắt xì hơi
hằng đẳng thức
hết chỗ nói
hệ miễn dịch
hệ miễn nhiễm
hệ sinh thái
hệ thống hoá
hệ thống đếm
hệ tư tưởng
hệ điều hành
hệ đơn vị
hồ chứa nước
hồ li tinh
hồ ly tinh
hồng huyết cầu
hội ái hữu
hộp chữa cháy
hộp giảm tốc
hộp tốc độ
hợp kim màu
hợp lí hoá
hợp lý hoá
hợp pháp hoá
hợp thức hoá
hợp tác hoá
hợp tác xã
hữu thần luận
im phăng phắc
im thin thít
keo tai tượng
khinh khí cầu
khoáng sàng học
khoáng vật học
khoẻ như vâm
khu chế xuất
khu công nghiệp
khu tập thể
khu tự trị
khu đô thị
khung hình phạt
khuỳnh tay ngai
khách qua đường
khách vãng lai
khái quát hoá
khán thính giả
khét lèn lẹt
khí hậu học
khí thiên nhiên
khí tĩnh học
khí tượng học
khí áp kế
khí động học
khít khìn khịt
khó đăm đăm
khóc dạ đề
khô dầu lá
khô không khốc
không biết chừng
không bờ bến
không mấy khi
không tài gì
không tài nào
khúc côn cầu
khăn mỏ quạ
khăn quàng đỏ
khăn đầu rìu
khải hoàn môn
khảo cổ học
khắm lằm lặm
khỏi phải nói
khốn một nỗi
khổ một nỗi
khổ nhục kế
khổ sâm nam
khủng bố trắng
kim anh tử
kim chỉ nam
kim loại học
kim loại màu
kim loại đen
kim nam châm
kim sinh học
kim tương học
kim tự tháp
kinh tuyến gốc
kinh tế học
kinh độ tây
kinh độ đông
kiến trúc sư
kiến tạo học
kiểm sát viên
kiểm toán viên
ké đầu ngựa
kênh truyền hình
kìm cộng lực
kí hiệu học
kí sinh trùng
kí túc xá
kí âm pháp
kín như bưng
kính hiển vi
kính thiên văn
kính tiềm vọng
kính viễn vọng
kính vạn hoa
kính đổi màu
ký hiệu học
ký sinh trùng
ký túc xá
ký âm pháp
kĩ thuật số
kĩ thuật viên
kẹo cao su
kế hoạch hoá
kế toán trưởng
kề miệng lỗ
kị binh bay
kịch bản phim
kỵ binh bay
kỹ thuật số
kỹ thuật viên
lai kinh tế
liên chi uỷ
liên cầu khuẩn
liên hoan phim
liền tù tì
liệu thần hồn
lo sốt vó
logic biện chứng
logic hình thức
logic toán học
long diên hương
loại hình học
lung tung beng
luyện kim màu
luyện kim đen
luật bài trung
luật bằng trắc
luật dân sự
luật hành chính
luật hình sự
luật quốc tế
làm dấu thánh
lá cờ đầu
lãnh sự quán
lí liệu pháp
lí sự cùn
lí tưởng hoá
lính đánh thuê
